1,AW00011000,Jon Yang,50 and above,VIP,3,8249,8,8,2013-05-03,155,2749,294
2,AW00011001,Eugene Huang,50 and above,VIP,3,6384,11,10,2013-12-10,148,2128,182
3,AW00011002,Ruben Torres,50 and above,VIP,3,8114,4,4,2013-02-23,158,2704,324
4,AW00011003,Christy Zhu,50 and above,VIP,3,8139,9,9,2013-05-10,155,2713,280
5,AW00011004,Elizabeth Johnson,40-49,VIP,3,8196,6,6,2013-05-01,155,2732,292
6,AW00011005,Julio Ruiz,50 and above,VIP,3,8121,6,6,2013-05-02,155,2707,280
7,AW00011006,Janet Alvarez,50 and above,VIP,3,8119,5,5,2013-05-14,155,2706,289
8,AW00011007,Marco Mehta,50 and above,VIP,3,8211,8,8,2013-03-19,157,2737,315
9,AW00011008,Rob Verhoff,50 and above,VIP,3,8106,7,7,2013-03-02,157,2702,311
10,AW00011009,Shannon Carlson,50 and above,VIP,3,8091,5,5,2013-05-09,155,2697,288
11,AW00011010,Jacquelyn Suarez,50 and above,VIP,3,8088,4,4,2013-05-23,155,2696,288
12,AW00011011,Curtis Lu,50 and above,VIP,3,8133,4,4,2013-03-19,157,2711,301
13,AW00011012,Lauren Walker,40-49,New,2,81,5,5,2013-10-15,150,40,11
14,AW00011013,Ian Jenkins,40-49,New,2,114,5,5,2014-01-21,147,57,12
15,AW00011014,Sydney Bennett,50 and above,New,2,138,6,5,2013-04-30,156,69,138
16,AW00011015,Chloe Young,40-49,New,1,2501,3,3,2013-01-18,159,2501,0
17,AW00011016,Wyatt Hill,40-49,New,1,2332,3,3,2013-02-09,158,2332,0
18,AW00011017,Shannon Wang,50 and above,VIP,3,6434,4,4,2013-10-14,150,2144,194
19,AW00011018,Clarence Rai,50 and above,VIP,3,6533,7,7,2013-10-24,150,2177,197
20,AW00011019,Luke Lal,40-49,New,17,880,33,20,2014-01-12,147,51,80
21,AW00011020,Jordan King,40-49,New,1,2317,2,2,2012-12-29,160,2317,0
22,AW00011021,Destiny Wilson,40-49,New,1,2372,3,3,2013-01-23,159,2372,0
23,AW00011022,Ethan Zhang,40-49,New,1,2322,2,2,2013-01-20,159,2322,0
24,AW00011023,Seth Edwards,40-49,New,2,122,6,6,2014-01-14,147,61,11
25,AW00011024,Russell Xie,40-49,New,2,56,6,5,2013-07-26,153,28,56
26,AW00011025,Alejandro Beck,50 and above,VIP,3,6577,6,6,2013-10-25,150,2192,199
27,AW00011026,Harold Sai,50 and above,VIP,3,6575,7,7,2013-10-15,150,2191,199
28,AW00011027,Jessie Zhao,50 and above,VIP,3,6591,9,9,2013-10-24,150,2197,199
29,AW00011028,Jill Jimenez,50 and above,VIP,3,6474,5,5,2013-10-07,150,2158,196
30,AW00011029,Jimmy Moreno,50 and above,VIP,3,6565,7,7,2013-11-11,149,2188,193
31,AW00011030,Bethany Yuan,50 and above,VIP,3,6471,4,4,2013-11-09,149,2157,196
32,AW00011031,Theresa Ramos,50 and above,VIP,3,6478,6,6,2013-11-13,149,2159,196
33,AW00011032,Denise Stone,50 and above,VIP,3,6525,10,10,2013-11-08,149,2175,197
34,AW00011033,Jaime Nath,50 and above,VIP,3,6495,7,7,2013-11-05,149,2165,196
35,AW00011034,Ebony Gonzalez,50 and above,VIP,3,6491,4,4,2013-11-10,149,2163,196
36,AW00011035,Wendy Dominguez,50 and above,VIP,3,6451,5,5,2013-11-15,149,2150,195
37,AW00011036,Jennifer Russell,40-49,New,1,2355,2,2,2013-01-22,159,2355,0
38,AW00011037,Chloe Garcia,40-49,New,1,2374,7,7,2013-01-20,159,2374,0
39,AW00011038,Diana Hernandez,50 and above,VIP,3,6437,3,3,2013-11-12,149,2145,195
40,AW00011039,Marc Martin,50 and above,VIP,3,6636,9,8,2013-11-11,149,2212,201
